Ticker,Entry Price,Current Price,Quantity,Currency,Entry Price CHF,Current Price CHF,Total Value CHF,P/L CHF,ROI %
C,73.56,99.69000244140625,7,USD,59.41382352,80.5188174519043,563.6317221633301,147.73495752333005,35.522026157431
IBKR,21.115,62.43000030517578,20,USD,17.054416579999998,50.42421180648803,1008.4842361297606,667.3959045297607,195.6665891791418
HSBC,30.18,68.94999694824219,7,USD,24.37614456,55.69036093511963,389.83252654583737,219.1995146258374,128.4625478735659
MUV2,301.0,530.0,1,EUR,280.6524,494.172,494.172,213.5196,76.0797342192691
CB,208.73,295.80999755859375,2,USD,168.58955115999998,238.92336854809568,477.84673709619136,140.66763477619142,41.718965917019005
SPGI,363.32,489.239990234375,1,USD,293.45065744,395.15522619238277,395.15522619238277,101.70456875238281,34.65814990487036
V,226.71,329.29998779296875,2,USD,183.11185332,265.9729657404785,531.945931480957,165.722224840957,45.25163768381136
MOUR,624.0,590.0,1,EUR,581.8176,550.116,550.116,-31.7016,-5.448717948717949
DG,98.64,120.05000305175781,5,EUR,91.971936,111.93462284545899,559.673114227295,99.81343422729492,21.70519368588586
VETN,30.25,21.799999237060547,12,CHF,30.25,21.799999237060547,261.59999084472656,-101.40000915527344,-27.93388681963456
ISRG,540.0,568.47998046875,1,USD,436.15368,459.15673238476563,459.15673238476563,23.003052384765624,5.274070457175926
NVO,108.29,44.970001220703125,4,USD,87.46496668,36.321910225952145,145.28764090380858,-204.5722258161914,-58.47261868990385
ENSG,118.03,184.5800018310547,5,USD,95.33188676,149.08379083892822,745.4189541946412,268.75952039464113,56.38397172842048
UNH,456.05,319.04998779296875,1,USD,368.34793659999997,257.6941227404785,257.6941227404785,-110.65381385952149,-30.04056840412921
NOVN,83.1,104.05999755859375,5,CHF,83.1,104.05999755859375,520.2999877929688,104.79998779296878,25.222620407453377
BMY,51.41,47.7599983215332,4,USD,41.52344572,38.575368564315795,154.30147425726318,-11.792308622736805,-7.099789298709966
ABBV,103.78,229.50999450683594,4,USD,83.82227576,185.3733864832153,741.4935459328613,406.2044428928613,121.150505402617
SHEL,2448.0,2789.5,15,GBp,2592.588672,2954.259028,44313.88542,5425.05534,13.95016339869281
NUE,118.45,153.64999389648438,4,USD,95.6711174,124.10187087023925,496.407483480957,113.72301388095701,29.71717509200876
LEU,78.0,249.83999633789062,4,USD,62.999976,201.79376632214354,807.1750652885742,555.1751612885741,220.3076876126803
NUCL,29.48,,18,USD,,,,,
BEPC,23.54,40.709999084472656,16,USD,19.013069679999997,32.881140580535885,526.0982492885742,221.88913440857422,72.93967325604358
LNG,171.24,204.5800018310547,2,USD,138.30917808,165.23763083892823,330.47526167785645,53.856905517856426,19.46975112768902
PBR,10.48,12.75,30,USD,8.46461216,10.298072999999999,308.94219,55.003825199999994,21.660305343511446
ENI,14.3,15.842000007629395,15,EUR,13.33332,14.771080807113648,221.5662121067047,21.566412106704703,10.783216836569187
IBE,9.14,18.045000076293945,33,EUR,8.522136,16.825158071136475,555.2302163475036,273.99972834750366,97.42888486098408
TRI,97.75,132.5,5,EUR,91.1421,123.543,617.715,162.0045,35.54987212276215
5Y2,75.7,10.324999809265137,50,EUR,70.58268,9.627029822158814,481.3514911079407,-3047.7825088920595,-86.36063433386376
BOL,5.91,4.581999778747559,90,EUR,5.510484,4.272256593704224,384.5030934333802,-111.44046656661988,-22.470392914592917
ULTA,404.46,514.5900268554688,1,USD,326.67910631999996,415.63024797094727,415.63024797094727,88.95114165094728,27.228904429478508
QSR,74.11,69.94000244140625,4,USD,59.85805412,56.489980451904295,225.95992180761718,-13.47229467238281,-5.62676772175651
BTI,28.79,54.779998779296875,9,USD,23.25345268,44.24536677404785,398.20830096643067,188.92722684643067,90.27439659359804
PG,150.21,146.97999572753906,2,USD,121.32341532,118.71456670916747,237.42913341833494,-5.217697221665052,-2.1503257256247554
7NX,15.5,19.799999237060547,31,EUR,14.4522,18.461519288635255,572.3070979476929,124.28889794769287,27.74193056168095
CHKP,215.82,183.5500030517578,3,USD,174.31608744,148.25186906488037,444.75560719464113,-78.19265512535887,-14.952273629988962
EVS,38.85,19.321800231933594,12,EUR,36.22374,18.015646536254884,216.1877584350586,-218.49712156494144,-50.2656364686394
SONY,16.43,29.010000228881836,15,USD,13.270379559999999,23.431145104866026,351.4671765729904,152.41148317299042,76.56725641437515
GOOGL,108.0,318.5799865722656,2,USD,87.230736,257.31450651452633,514.6290130290527,340.1675410290527,194.9814690483941
DFIN,38.84,46.709999084472656,5,USD,31.370757280000003,37.72729258053589,188.63646290267945,31.78267650267943,20.26261350276172
TSM,87.54,284.6400146484375,2,USD,70.70535768,229.90146271142578,459.80292542285156,318.3922100628515,225.1542319493231
